Pfad;Name;Dateityp;BreiteHoehe;Seitenverhaeltnis;Alpha;GroesseBytes;SHA256;Kategorie;State;Zielkomponente;Duplikatgruppe;InV2Verwendet;SpaeterNutzbar
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_disabled.paa;Events_3_Cards_disabled.paa;.paa;;;NEIN;220811;D5A99C844270D50D204AC79E913D2B7341848001343073B0C31A81648525249C;PANEL;DISABLED;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_disabled.png;Events_3_Cards_disabled.png;.png;920x760;1.210526;JA;9263;66DA2DF82508BB546F2C8259EDC80455F027BBB68AFFF1F456494453220A9ED7;PANEL;DISABLED;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_normal.paa;Events_3_Cards_normal.paa;.paa;;;NEIN;221101;47A9B9C53D537B970CFBA40A110656F35A24B20C123C5A29A90F960712AC2B10;PANEL;NORMAL;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_normal.png;Events_3_Cards_normal.png;.png;920x760;1.210526;JA;9247;844D40A7888EDCE75FFB84E9686F538A51D93432B3FE6BFD51B40C94106DDFC2;PANEL;NORMAL;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_offline.paa;Events_3_Cards_offline.paa;.paa;;;NEIN;220831;7E27E9BC6CB46E7C1832410E29DC4E41BB14D73997AD580FCCA47BDD905CCD46;PANEL;OFFLINE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_offline.png;Events_3_Cards_offline.png;.png;920x760;1.210526;JA;9292;C56023A0C173C4FCE874C06E8B0E88D512FBB3ADA1C82C2EC8584ED459999334;PANEL;OFFLINE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_warning.paa;Events_3_Cards_warning.paa;.paa;;;NEIN;221721;3BAD6B4A90519BB024E6F1350D01D8D7983F33B61A622150EE639AFC295EFB67;PANEL;WARNING;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_3_Cards_warning.png;Events_3_Cards_warning.png;.png;920x760;1.210526;JA;12172;D5503B16BD895ADE17BCBCE8473A3B851842164BA50D939C3088538A1B264AA0;PANEL;WARNING;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_active.paa;Events_4_Cards_active.paa;.paa;;;NEIN;280583;253FAD457FF3C4ED98B5CEF3C59342C7219453F56E5CF9306894E4563EB836A2;PANEL;ACTIVE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_active.png;Events_4_Cards_active.png;.png;1180x760;1.552632;JA;12960;03022084D61AC356EA5D4934AD53759553088CA063C82F90CD9481E6F34F2565;PANEL;ACTIVE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_disabled.paa;Events_4_Cards_disabled.paa;.paa;;;NEIN;279347;345833C672BD7C144C5D86FDC3AD4B17EBDC2E65C1BF451327FC5ABA6C03243F;PANEL;DISABLED;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_disabled.png;Events_4_Cards_disabled.png;.png;1180x760;1.552632;JA;10590;203F8D74D03EC837CF123CBC1B690CBB366D4EB510C65B768AD40A2A58850B5F;PANEL;DISABLED;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_normal.paa;Events_4_Cards_normal.paa;.paa;;;NEIN;279679;32B0829A2DFB7DBA2E9149FD95F865982DB73A77235E8461423254630BD01F2A;PANEL;NORMAL;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_normal.png;Events_4_Cards_normal.png;.png;1180x760;1.552632;JA;10480;FBE6B80C6350B359C14B3D1FB7C18DD702408E732EC7B3E8588A32400C0BABEA;PANEL;NORMAL;panels/events_4_cards_normal.paa;;JA;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_offline.paa;Events_4_Cards_offline.paa;.paa;;;NEIN;279296;92120B25A10EE99363CAB5E9BB00EC5F9F57FA5D12BD29D5C9EEC46919C16B51;PANEL;OFFLINE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_offline.png;Events_4_Cards_offline.png;.png;1180x760;1.552632;JA;10531;B58BCA58815126DBE67B3AEFFB1C8627CA404C0B2A8A6CCAAD4780E22C164E81;PANEL;OFFLINE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_warning.paa;Events_4_Cards_warning.paa;.paa;;;NEIN;280339;34C90C2E2446553A74894EE044D6C014B07960F12AC8C469CB046959C1A52732;PANEL;WARNING;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Events_4_Cards_warning.png;Events_4_Cards_warning.png;.png;1180x760;1.552632;JA;13453;B3CD77F2E4F4041770109D25EF544AEB9B9DC5449CA9C4FA90B5E96450068F66;PANEL;WARNING;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_active.paa;Inventory_active.paa;.paa;;;NEIN;317231;9F044BF18DE8B5C1E429E7988F6A251E3F760E481E5738ACAA70B1B2AF892035;PANEL;ACTIVE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_active.png;Inventory_active.png;.png;1180x860;1.372093;JA;14178;92E2CEAE380C89E653416AB3875C8218AB81DC23928CDE6438A3B683A85B2F94;PANEL;ACTIVE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_disabled.png;Inventory_disabled.png;.png;1180x860;1.372093;JA;11768;40485B6563DBBD317767E2FDC91D2972890807B505C604478B5DE3DA5DDEC3E9;PANEL;DISABLED;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_normal.png;Inventory_normal.png;.png;1180x860;1.372093;JA;11688;7F8628681F8B15D992F59533745F0B7E86F617595C90B5D8234B06BAE3498E7C;PANEL;NORMAL;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_offline.png;Inventory_offline.png;.png;1180x860;1.372093;JA;11710;05D4FF3268B242EA9EB0D7D9BF04FA85ED910A0348661B1C393924F489441BA2;PANEL;OFFLINE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Inventory_warning.png;Inventory_warning.png;.png;1180x860;1.372093;JA;14761;F95DADBB26E35DB50343A8C16CB86F8489915942CF6AA21F8342FD7CAA802117;PANEL;WARNING;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_active.paa;Leaderboard_active.paa;.paa;;;NEIN;258018;37DD84B64B00457AB863AC532EF3EFAA80021D639D505163ED7B89283CEA1FE3;PANEL;ACTIVE;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_active.png;Leaderboard_active.png;.png;980x840;1.166667;JA;13950;A8A9417291A52F3080A1F6CD5D5A1E0B1FF9CAD9D4CB3391095D8DADA54D69CA;PANEL;ACTIVE;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_disabled.paa;Leaderboard_disabled.paa;.paa;;;NEIN;256745;7DDBEAAF5649DD8285F02A2F67F20E8BE11D058A3A2F6F755EE1140F6F2783BD;PANEL;DISABLED;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_disabled.png;Leaderboard_disabled.png;.png;980x840;1.166667;JA;11677;AD10534FC76B739F449539C65EE94AD62BFD8D5F8C89B1A6A40FCA451EC8B9B2;PANEL;DISABLED;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_normal.paa;Leaderboard_normal.paa;.paa;;;NEIN;256987;79B421D6B52A8419F5C582618E0E763CD5EF5D6C48ED299F69C65DDB5D12D7FB;PANEL;NORMAL;Panel-Reserve;;NEIN;NEIN
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_normal.png;Leaderboard_normal.png;.png;980x840;1.166667;JA;11672;013048ECA49956CCA9885F8D5A85E9B169ED76B6E85E857CB91B80F6A6FC0C2A;PANEL;NORMAL;Panel-Reserve;;NEIN;JA
C:\Users\patsl\Downloads\DeutschZ_UI_Production_Kit\01_PANELS\Leaderboard_offline.paa;Leaderboard_offline.paa;.paa;;;NEIN;256622;DAD6F14A3F0B74E69D241F10AA34B170D9DB923947C7E47E9C3FF6FC92DB14E9;PANEL;OFFLINE;Panel-Reserve;;NEIN;NEIN
